[DIALOGUE] 对话提及: 里鬼剑术 | 我使用里鬼剑术劈开了石门
[DIALOGUE] 对话提及: 里·鬼剑术 | （你深吸一口气,退后半步,将那股在手感中沉淀的力量灌注至剑刃之上。里·鬼剑术的起手式——一剑横掠,剑刃精准地切入石门中央那道环形符文的缝隙。石屑崩飞,门面上蔓延开一道细密的裂纹。紧接着第二剑跟上,斩在
[DIALOGUE] 对话提及: 里·鬼剑术 | （你深吸一口气，将刚才连战三波积攒的剑意尽数沉入右臂。没有助跑，没有蓄势——你只是踏前一步，腰身拧转，将里·鬼剑术的第三式以最简洁的轨迹送出。剑刃精准地切入石门中央那道环形符文的圆心。）

接触的一瞬
[DIALOGUE] 对话提及: 里鬼剑术 | ‘走’，我带头跳下去，遇到了一群尸鬼，我使用里鬼剑术将他们一一清扫。
[DIALOGUE] 对话提及: 里·鬼剑术 | （你没有犹豫。话音落下的同时，你已经纵身跃入竖井。风声在耳边呼啸而过，暗红色的光在下方迅速放大——落地时，你屈膝缓冲，靴底踏碎了一块松动的石板，发出一声沉闷的脆响。）

你落进了一座极其宽阔的地下厅堂
[DIALOGUE] 对话提及: 里·鬼剑术 | 我叫无名，我是一名从异世界穿越而来的剑魂，我掌握着里·鬼剑术和光剑精通等技能，我来自阿拉德大陆，我们开始冒险吧。
[DIALOGUE] 对话提及: 光剑精通 | 我叫无名，我是一名从异世界穿越而来的剑魂，我掌握着里·鬼剑术和光剑精通等技能，我来自阿拉德大陆，我们开始冒险吧。
[DIALOGUE] 对话提及: 里·鬼剑术 | 我在野外遇到了一只猛兽，拔出剑使用了里·鬼剑术，经过一番战斗后击败了它。
[DIALOGUE] 对话提及: 里·鬼剑术 | 我继续深入锻莫遗迹，遇到一群机械蜘蛛，使用里·鬼剑术将它们全部击毁。
[DIALOGUE] 对话提及: 里·鬼剑术 | 锻莫遗迹……哈！你挑了个硬骨头啃。那些地下的矮人机械，齿轮咬合的声音比天际大部分的吟游诗人唱歌还响亮。你那一记里·鬼剑术的剑气在石壁上反弹了三回，我坐在这里都感觉到了空气里残留的震动。；三只机械蜘蛛，
[DIALOGUE] 对话提及: 里·鬼剑术 | 没有蜘蛛了。这回是真的没有蜘蛛了。；当你第三次劈开那些铜壳时，我听到了一股气流——不是剑风，而是机械内部泄压的声音。你击毁的最后一具蜘蛛，在崩裂前发出了一种不同于同伴的尖啸。那是一个信号。整座遗迹的防
[DIALOGUE] 对话提及: 光剑精通 | 没有蜘蛛了。这回是真的没有蜘蛛了。；当你第三次劈开那些铜壳时，我听到了一股气流——不是剑风，而是机械内部泄压的声音。你击毁的最后一具蜘蛛，在崩裂前发出了一种不同于同伴的尖啸。那是一个信号。整座遗迹的防
[DIALOGUE] 对话提及: 里·鬼剑术 | 我感受到了。从你进入主控大厅的那一刻起，地下的震动从未停歇。而在某一瞬间，所有声音都凝聚成一声清亮至极的鸣响——那是钢铁灵魂被贯穿的声音。；锻莫百夫长，地下的钢铁霸主，传说中的守卫之王的量产侍卫。斩杀
[DIALOGUE] 对话提及: 光剑精通 | 我感受到了。从你进入主控大厅的那一刻起，地下的震动从未停歇。而在某一瞬间，所有声音都凝聚成一声清亮至极的鸣响——那是钢铁灵魂被贯穿的声音。；锻莫百夫长，地下的钢铁霸主，传说中的守卫之王的量产侍卫。斩杀
[DIALOGUE] 对话提及: 里·鬼剑术 | 继续往下凿这座遗迹的核心，遇到一群尸鬼，使用里·鬼剑术将它们全部击毁。
[DIALOGUE] 对话提及: 里·鬼剑术 | 尸鬼的魂火，是这片大地最古老的遗音。你用剑让它们安静了下来——而且方式干净利落，没有惊动更深层的守卫。；那枚戒指，如果你捡了的话，不妨拿给法仁加·秘火看看——他是白漫城的宫廷法师，对古诺德符文有些研究
[DIALOGUE] 对话提及: 光剑精通 | 尸鬼的魂火，是这片大地最古老的遗音。你用剑让它们安静了下来——而且方式干净利落，没有惊动更深层的守卫。；那枚戒指，如果你捡了的话，不妨拿给法仁加·秘火看看——他是白漫城的宫廷法师，对古诺德符文有些研究
[DIALOGUE] 对话提及: 里·鬼剑术 | 你身上的东西在和这座遗迹说话。继续往下走——那些石头里封存着的，可能不仅仅是亡者。
[DIALOGUE] 对话提及: 光剑精通 | 你身上的东西在和这座遗迹说话。继续往下走——那些石头里封存着的，可能不仅仅是亡者。
